
EVALUATION STARTED:                 01/12/2021, 12:06:45
EVALUATING CHALLENGE:               2021/w47
FOUND 49 SOLUTIONS:                 aman1.js, aman2.js, anuradha1.js, anuradha2.js, anuradha3.js, anuradha4.js, bram1.js, bram2.js, bram3.js, bram4.js,
                          bram5.js, devin1.js, hossein1.js, hossein2.js, hossein3.js, hossein4.js, hossein5.js, hossein6.js, hossein7.js, lars1.js,
                          lars2.js, lars3.js, lars4.js, lars5.js, lars6.js, lars7.js, lars8.js, lee1.js, luc1.js, luc10.js, luc11.js, luc2.js,
                          luc3.js, luc4.js, luc5.js, luc6.js, luc7.js, luc8.js, luc9.js, patrick1.js, patrick2.js, tim1.js, tim2.js, tim3.js,
                          tim4.js, tim5.js, varun1.js, varun2.js, varun3.js
RUNNING EVALUATION FOR:             5400 SECONDS WITH 10000 TEST CASES IN EACH CYCLE...



EVALUATION ENDED:                   01/12/2021, 13:36:47
DURATION:                           1 hour, 30 minutes, 1.207 seconds

RANKINGS:
╔═══════╤════════╤═══════════╤═════════╤══════════╤══════════════╤══════╗
║ Place │ Points │ Name      │ Total   │ Best run │ Best compile │ Size ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 1     │ 25     │ aman2     │ 0.568ms │ 0.555ms  │ 0.013ms      │ 358  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 2     │ 18     │ hossein7  │ 0.599ms │ 0.585ms  │ 0.014ms      │ 422  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║       │ 18     │ varun1    │ 0.622ms │ 0.610ms  │ 0.012ms      │ 511  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 4     │ 12     │ lars8     │ 0.638ms │ 0.622ms  │ 0.016ms      │ 165  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 5     │ 10     │ bram1     │ 0.742ms │ 0.730ms  │ 0.012ms      │ 151  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║       │ 10     │ tim4      │ 0.756ms │ 0.741ms  │ 0.015ms      │ 310  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 7     │ 6      │ patrick1  │ 0.854ms │ 0.843ms  │ 0.012ms      │ 192  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║       │ 6      │ anuradha1 │ 0.895ms │ 0.884ms  │ 0.012ms      │ 136  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 9     │ 2      │ lee1      │ 1.148ms │ 1.137ms  │ 0.012ms      │ 69   ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 10    │ 1      │ devin1    │ 1.379ms │ 1.366ms  │ 0.013ms      │ 133  ║
╟───────┼────────┼───────────┼─────────┼──────────┼──────────────┼──────╢
║ 11    │        │ luc8      │ 4.790ms │ 4.778ms  │ 0.011ms      │ 46   ║
╚═══════╧════════╧═══════════╧═════════╧══════════╧══════════════╧══════╝

Keeping only best run from each contestant
Using 5% margin for determening ties

OMITTED FROM RANKINGS:              aman1.js, varun2.js, varun3.js, bram4.js, bram3.js, lars5.js, bram2.js, hossein6.js, bram5.js, tim5.js, hossein2.js,
                          lars2.js, lars4.js, anuradha4.js, anuradha3.js, tim3.js, lars3.js, hossein1.js, lars1.js, luc3.js, luc5.js, luc4.js,
                          luc2.js, luc1.js, patrick2.js, luc10.js, luc11.js, tim1.js, hossein5.js, luc9.js, tim2.js, lars7.js, anuradha2.js,
                          hossein4.js, hossein3.js, lars6.js

CODEGOLF AWARD:                     anuradha2.js, hossein5.js, lars7.js, luc9.js, tim2.js with 44 bytes

FAILED SOLUTIONS:                   luc6.js, luc7.js

SYSTEM INFO:
NODE: v14.16.0
ARCH: x64
PLATFORM: linux
VERSION: #56-Ubuntu SMP Mon Oct 5 14:28:49 UTC 2020
MEMORY: 15.64GB
CPUS: 2 x Intel Xeon Processor (Cascadelake)
CPU speed: 2494MHz

RAW RESULTS:
┌─────────┬────────────────┬────────────────────┬────────────────────┬──────────────────────┬────────┬──────────────────────────────────────────┬───────────────────────┬──────────────┬────────┬───────────────────────┬───────┐
│ (index) │    solution    │       total        │      bestRun       │     bestCompile      │  size  │                 compiled                 │    validationTime     │ onlyCodegolf │ failed │      failReason       │ runs  │
│   23    │  'devin1.js'   │ 1.3794220001000213 │ 1.365922999990289  │ 0.013499000109732151 │  133   │              'successfully'              │   7.461425000001327   │    false     │ false  │         null          │ 27300 │
│   24    │ 'anuradha3.js' │ 1.966202000156045  │ 1.9535050000995398 │ 0.012697000056505203 │  373   │              'successfully'              │   9.769811000001937   │    false     │ false  │         null          │ 27300 │
│   25    │   'tim3.js'    │ 2.382337999995798  │ 2.3693900000071153 │ 0.012947999988682568 │  466   │              'successfully'              │   12.20011599999998   │    false     │ false  │         null          │ 27300 │
│   26    │   'lars3.js'   │ 2.8446389997843653 │ 2.831711000064388  │ 0.012927999719977379 │  332   │              'successfully'              │  11.198895999998058   │    false     │ false  │         null          │ 27300 │
│   27    │ 'hossein1.js'  │ 3.4818610000656918 │ 3.470282999915071  │ 0.011578000150620937 │   66   │              'successfully'              │   9.897938999998587   │    false     │ false  │         null          │ 27300 │
│   28    │   'lars1.js'   │ 4.782264000008581  │  4.76851500000339  │ 0.013749000005191192 │  216   │              'successfully'              │  12.643089000001055   │    false     │ false  │         null          │ 27300 │
│   29    │   'luc8.js'    │ 4.789527000160888  │ 4.778033999959007  │ 0.011493000201880932 │   46   │              'successfully'              │   15.31576800000039   │    false     │ false  │         null          │ 27300 │
│   30    │   'luc3.js'    │ 4.962739999988116  │ 4.951350999996066  │ 0.01138899999205023  │   55   │              'successfully'              │  15.493796999999176   │    false     │ false  │         null          │ 27300 │
│   31    │   'luc5.js'    │ 4.995561000192538  │ 4.984495999990031  │ 0.01106500020250678  │   54   │              'successfully'              │   14.06549399999858   │    false     │ false  │         null          │ 27300 │
│   32    │   'luc4.js'    │ 5.0447989998501725 │ 5.033473999996204  │ 0.01132499985396862  │   54   │              'successfully'              │  15.646294000001944   │    false     │ false  │         null          │ 27300 │
│   33    │   'luc2.js'    │ 5.377164999998058  │ 5.365700999987894  │ 0.011464000010164455 │   62   │              'successfully'              │  17.155096999998932   │    false     │ false  │         null          │ 27300 │
│   34    │   'luc1.js'    │ 5.700073000734847  │ 5.688906999996107  │ 0.011166000738739967 │   63   │              'successfully'              │  16.019838000000163   │    false     │ false  │         null          │ 27300 │
│   35    │ 'patrick2.js'  │  5.86552300000767  │ 5.854239000000234  │ 0.01128400000743568  │  132   │              'successfully'              │  26.619715000000724   │    false     │ false  │         null          │ 27300 │
│   36    │   'luc10.js'   │ 6.139350000703416  │ 6.126538000004075  │ 0.012812000699341297 │  213   │              'successfully'              │  16.783124000001408   │    false     │ false  │         null          │ 27300 │
│   37    │   'luc11.js'   │ 6.307260999994469  │ 6.295727000004263  │ 0.011533999990206212 │   92   │              'successfully'              │  19.793374000000767   │    false     │ false  │         null          │ 27300 │
│   38    │   'tim1.js'    │  6.47322900002473  │ 6.4620040000008885 │ 0.011225000023841858 │   54   │              'successfully'              │   15.01045299999896   │    false     │ false  │         null          │ 27300 │
│   39    │ 'hossein5.js'  │ 6.564649000269128  │ 6.553085999999894  │ 0.01156300026923418  │   44   │              'successfully'              │  15.716136999999435   │    false     │ false  │         null          │ 27300 │
│   40    │   'luc9.js'    │ 6.579392999861739  │ 6.567974999998114  │ 0.011417999863624573 │   44   │              'successfully'              │  17.835661999997683   │    false     │ false  │         null          │ 27300 │
│   41    │   'tim2.js'    │ 6.629734999951324  │ 6.6184269999939715 │ 0.011307999957352877 │   44   │              'successfully'              │   14.88940999999977   │    false     │ false  │         null          │ 27300 │
│   42    │   'lars7.js'   │ 6.6889439999940805 │ 6.677637000000686  │ 0.011306999993394129 │   44   │              'successfully'              │  15.146978999997373   │    false     │ false  │         null          │ 27300 │
│   43    │ 'anuradha2.js' │  6.69333200006804  │ 6.682006000075489  │ 0.01132599999255035  │   44   │              'successfully'              │  27.119574000000284   │    false     │ false  │         null          │ 27300 │
│   44    │ 'hossein4.js'  │  6.70147400010319  │ 6.690234000096098  │ 0.011240000007092021 │   62   │              'successfully'              │   16.20197200000257   │    false     │ false  │         null          │ 27300 │
│   45    │ 'hossein3.js'  │ 6.827273000002606  │ 6.815879000001587  │ 0.011394000001018867 │   63   │              'successfully'              │   16.7678820000001    │    false     │ false  │         null          │ 27300 │
│   46    │   'lars6.js'   │ 21.327106000499043 │ 21.31532899999729  │  0.0117770005017519  │   58   │              'successfully'              │   34.94837099999859   │    false     │ false  │         null          │ 27300 │
│   47    │   'luc6.js'    │        null        │        null        │         null         │  148   │ 'ReferenceError: require is not defined' │  0.21753000000171596  │    false     │  true  │  'Incorrect result'   │   0   │
│   48    │   'luc7.js'    │        null        │        null        │         null         │ 440327 │              'successfully'              │ 0.0007420000001729932 │    false     │  true  │ 'Exceeded 2048 bytes' │   0   │
└─────────┴────────────────┴────────────────────┴────────────────────┴──────────────────────┴────────┴──────────────────────────────────────────┴───────────────────────┴──────────────┴────────┴───────────────────────┴───────┘
